Date,Clicks,Impressions,CTR,Position
2025-07-11,157,63943,0.25%,42.08
2025-07-10,157,81774,0.19%,39.64
2025-07-09,145,50840,0.29%,37.54
2025-07-08,166,54202,0.31%,34.45
2025-07-07,155,75050,0.21%,40.61
2025-07-06,99,52725,0.19%,39.45
2025-07-05,81,57635,0.14%,39.82
2025-07-04,73,52814,0.14%,36.15
2025-07-03,113,64849,0.17%,33.2
2025-07-02,158,58546,0.27%,36.04
2025-07-01,174,61289,0.28%,34.49
2025-06-30,171,56932,0.3%,34.62
2025-06-29,98,57541,0.17%,43.56
2025-06-28,81,59038,0.14%,41.23
2025-06-27,134,53322,0.25%,35.26
2025-06-26,166,70609,0.24%,31.28
2025-06-25,155,50285,0.31%,36.25
2025-06-24,177,45920,0.39%,38.38
2025-06-23,179,51408,0.35%,40.96
2025-06-22,86,46626,0.18%,45.11
2025-06-21,76,52870,0.14%,46.41
2025-06-20,123,46559,0.26%,44.19
2025-06-19,125,59039,0.21%,39.08
2025-06-18,143,45523,0.31%,40.66
2025-06-17,180,44531,0.4%,39.82
2025-06-16,232,51499,0.45%,43.04
2025-06-15,71,49516,0.14%,45.82
2025-06-14,88,49340,0.18%,47.22
2025-06-13,135,43656,0.31%,44.15
2025-06-12,152,59759,0.25%,36.51
2025-06-11,168,42346,0.4%,40.67
2025-06-10,172,60561,0.28%,44.37
2025-06-09,196,52199,0.38%,42.26
2025-06-08,89,48063,0.19%,43.91
2025-06-07,81,61247,0.13%,47.37
2025-06-06,146,49037,0.3%,43.5
2025-06-05,196,59570,0.33%,35.21
2025-06-04,226,50113,0.45%,39.26
2025-06-03,206,56854,0.36%,40.72
2025-06-02,223,58549,0.38%,42.35
2025-06-01,160,58244,0.27%,43.54
2025-05-31,104,51086,0.2%,44.28
2025-05-30,174,55345,0.31%,43.14
2025-05-29,181,68563,0.26%,37.02
2025-05-28,202,52138,0.39%,40
2025-05-27,213,49223,0.43%,37.92
2025-05-26,124,55826,0.22%,44.62
2025-05-25,98,48930,0.2%,43.92
2025-05-24,112,52654,0.21%,44.53
2025-05-23,157,44239,0.35%,39.38
2025-05-22,201,63272,0.32%,35.28
2025-05-21,202,48200,0.42%,39.15
2025-05-20,188,57724,0.33%,42.97
2025-05-19,186,52728,0.35%,40.2
2025-05-18,120,48933,0.25%,43.81
2025-05-17,135,52813,0.26%,44.79
2025-05-16,150,49419,0.3%,42.65
2025-05-15,197,64484,0.31%,36.45
2025-05-14,172,50431,0.34%,40.07
2025-05-13,218,53574,0.41%,41.4
2025-05-12,222,55131,0.4%,40.31
2025-05-11,107,53436,0.2%,45.18
2025-05-10,93,61909,0.15%,46.95
2025-05-09,152,57044,0.27%,43.1
2025-05-08,190,64926,0.29%,35.87
2025-05-07,167,47958,0.35%,40.22
2025-05-06,162,50281,0.32%,41.17
2025-05-05,165,53131,0.31%,42.18
2025-05-04,118,51934,0.23%,44.89
2025-05-03,85,53133,0.16%,45.42
2025-05-02,131,49535,0.26%,43.78
2025-05-01,158,59906,0.26%,36.87
2025-04-30,169,42553,0.4%,38.24
2025-04-29,175,45205,0.39%,37.78
2025-04-28,153,50769,0.3%,41.38
2025-04-27,108,47245,0.23%,45.13
2025-04-26,103,52510,0.2%,47.13
2025-04-25,127,46831,0.27%,41.45
2025-04-24,146,66082,0.22%,37.9
2025-04-23,150,47299,0.32%,38.73
2025-04-22,177,49462,0.36%,40.22
2025-04-21,141,54034,0.26%,41.43
2025-04-20,95,50848,0.19%,45.64
2025-04-19,88,46025,0.19%,44.82
2025-04-18,132,43101,0.31%,42.7
2025-04-17,179,51863,0.35%,34.71
2025-04-16,136,38503,0.35%,37.85
2025-04-15,183,40004,0.46%,37.59
2025-04-14,163,46954,0.35%,41.64
2025-04-13,82,41222,0.2%,44.32
2025-04-12,82,46884,0.17%,44.25
2025-04-11,134,43297,0.31%,42.24
2025-04-10,146,57690,0.25%,33.11
2025-04-09,161,52062,0.31%,39.95
2025-04-08,173,47431,0.36%,39.61
2025-04-07,195,46255,0.42%,39.08
2025-04-06,109,42615,0.26%,43.21
2025-04-05,101,43472,0.23%,43.12
2025-04-04,153,42102,0.36%,42.07
2025-04-03,140,53691,0.26%,34.44
2025-04-02,170,45200,0.38%,40.12
2025-04-01,178,52251,0.34%,39.92
2025-03-31,162,44164,0.37%,37.87
2025-03-30,86,42067,0.2%,44.52
2025-03-29,69,45430,0.15%,46.82
2025-03-28,147,39827,0.37%,40.17
2025-03-27,152,55179,0.28%,33.9
2025-03-26,192,48499,0.4%,38.06
2025-03-25,174,42674,0.41%,39.55
2025-03-24,168,49042,0.34%,43.4
2025-03-23,89,48484,0.18%,45.26
2025-03-22,99,50957,0.19%,47.3
2025-03-21,125,48403,0.26%,44.32
2025-03-20,192,62491,0.31%,37.22
2025-03-19,169,41637,0.41%,39.1
2025-03-18,193,39564,0.49%,38.34
2025-03-17,192,42906,0.45%,40.88
2025-03-16,108,39517,0.27%,45.92
2025-03-15,91,44314,0.21%,45.47
2025-03-14,160,42846,0.37%,42.76
2025-03-13,171,38906,0.44%,38.79
2025-03-12,170,40718,0.42%,39.47
2025-03-11,211,41571,0.51%,37.58
2025-03-10,189,63786,0.3%,44.48
2025-03-09,115,39920,0.29%,42.04
2025-03-08,109,45444,0.24%,43.29
2025-03-07,130,53720,0.24%,43.05
2025-03-06,162,41408,0.39%,38.73
2025-03-05,149,39397,0.38%,37.31
2025-03-04,161,43298,0.37%,39.35
2025-03-03,180,44563,0.4%,39.96
2025-03-02,110,46814,0.23%,44.54
2025-03-01,76,46372,0.16%,44.95
2025-02-28,132,40511,0.33%,40.95
2025-02-27,174,39944,0.44%,37.95
2025-02-26,173,39636,0.44%,37.36
2025-02-25,155,36286,0.43%,37.61
2025-02-24,183,66256,0.28%,25.16
2025-02-23,102,74327,0.14%,25.11
2025-02-22,74,76714,0.1%,27.19
2025-02-21,139,80535,0.17%,24.98
2025-02-20,168,87440,0.19%,23.24
2025-02-19,177,80506,0.22%,20.62
2025-02-18,179,76067,0.24%,20.12
2025-02-17,145,67157,0.22%,24.64
2025-02-16,94,54501,0.17%,32.64
2025-02-15,92,58029,0.16%,33.05
2025-02-14,110,55069,0.2%,30.53
2025-02-13,159,61005,0.26%,23.27
2025-02-12,189,90635,0.21%,18.51
2025-02-11,198,66576,0.3%,22.55
2025-02-10,160,77097,0.21%,22.79
2025-02-09,118,91959,0.13%,25.74
2025-02-08,102,82829,0.12%,23.97
2025-02-07,167,79781,0.21%,22.59
2025-02-06,194,76927,0.25%,21.28
2025-02-05,179,80767,0.22%,22.48
2025-02-04,197,77468,0.25%,20.48
2025-02-03,192,90229,0.21%,23.22
2025-02-02,138,90068,0.15%,26.22
2025-02-01,112,90717,0.12%,27.06
2025-01-31,165,84021,0.2%,23.41
2025-01-30,217,81699,0.27%,20.65
2025-01-29,212,86335,0.25%,20.13
2025-01-28,204,84907,0.24%,20.12
2025-01-27,204,100424,0.2%,19.12
2025-01-26,142,98812,0.14%,22.22
2025-01-25,117,107502,0.11%,22.65
2025-01-24,178,101185,0.18%,18.85
2025-01-23,202,98076,0.21%,18.06
2025-01-22,193,99251,0.19%,17.18
2025-01-21,211,102570,0.21%,20.88
2025-01-20,159,97708,0.16%,19.49
2025-01-19,134,154766,0.09%,17.43
2025-01-18,96,137942,0.07%,17.41
2025-01-17,140,156042,0.09%,14.24
2025-01-16,173,99471,0.17%,15.7
2025-01-15,200,61073,0.33%,20.1
2025-01-14,184,72450,0.25%,22.65
2025-01-13,188,66446,0.28%,24.93
2025-01-12,129,99418,0.13%,18.67
2025-01-11,122,100242,0.12%,19.22
2025-01-10,187,104074,0.18%,17.94
2025-01-09,187,109789,0.17%,18.21
2025-01-08,200,104090,0.19%,16.18
2025-01-07,191,107769,0.18%,15.21
2025-01-06,199,100460,0.2%,17.54
2025-01-05,114,61160,0.19%,27.72
2025-01-04,110,64290,0.17%,31.2
2025-01-03,167,67140,0.25%,29.96
2025-01-02,153,79945,0.19%,24.11
2025-01-01,93,104688,0.09%,16.08
2024-12-31,107,98405,0.11%,15.73
2024-12-30,159,91204,0.17%,17.82
2024-12-29,105,60118,0.17%,29.15
2024-12-28,117,62748,0.19%,29.69
2024-12-27,113,58950,0.19%,28.13
2024-12-26,117,90769,0.13%,16.37
2024-12-25,86,95981,0.09%,16.3
2024-12-24,76,101277,0.08%,17.26
2024-12-23,143,97625,0.15%,18.02
2024-12-22,92,64530,0.14%,32.76
2024-12-21,79,67217,0.12%,33.73
2024-12-20,122,63987,0.19%,31.39
2024-12-19,169,56528,0.3%,26.11
2024-12-18,152,81512,0.19%,19.14
2024-12-17,193,137123,0.14%,16.53
2024-12-16,177,134581,0.13%,14.74
2024-12-15,103,140062,0.07%,14.89
2024-12-14,129,138548,0.09%,15.36
2024-12-13,120,140374,0.09%,14.06
2024-12-12,195,134690,0.14%,12.73
2024-12-11,167,143178,0.12%,16.06
2024-12-10,210,131222,0.16%,13.22
2024-12-09,193,112802,0.17%,15.05
2024-12-08,110,95831,0.11%,19.46
2024-12-07,70,94660,0.07%,19.64
2024-12-06,132,97224,0.14%,18.08
2024-12-05,174,92655,0.19%,18.79
2024-12-04,189,62070,0.3%,25.47
2024-12-03,186,58562,0.32%,24.72
2024-12-02,137,79856,0.17%,24.43
2024-12-01,107,101773,0.11%,16.58
2024-11-30,72,100709,0.07%,17.15
2024-11-29,78,99370,0.08%,15.97
2024-11-28,64,96362,0.07%,14.37
2024-11-27,113,98273,0.11%,14.63
2024-11-26,175,99197,0.18%,14.75
2024-11-25,172,109759,0.16%,16.81
2024-11-24,101,105901,0.1%,18
2024-11-23,97,105683,0.09%,18
2024-11-22,142,111476,0.13%,18.99
2024-11-21,185,104670,0.18%,15.93
2024-11-20,186,109898,0.17%,14.89
2024-11-19,160,107959,0.15%,15.29
2024-11-18,187,108812,0.17%,16.52
2024-11-17,95,101394,0.09%,17.8
2024-11-16,92,107447,0.09%,17.13
2024-11-15,138,102803,0.13%,15.3
2024-11-14,152,105978,0.14%,13.89
2024-11-13,194,108163,0.18%,13.93
2024-11-12,180,102857,0.18%,14.44
2024-11-11,120,102159,0.12%,14.9
2024-11-10,83,104528,0.08%,16.89
2024-11-09,77,100984,0.08%,17.45
2024-11-08,124,99954,0.12%,16.02
2024-11-07,140,100469,0.14%,14.39
2024-11-06,136,101608,0.13%,14.4
2024-11-05,162,101775,0.16%,14.02
2024-11-04,167,103805,0.16%,16.31
2024-11-03,116,110679,0.1%,18.95
2024-11-02,85,105621,0.08%,19.2
2024-11-01,109,105066,0.1%,18.61
2024-10-31,132,101995,0.13%,14.31
2024-10-30,141,104022,0.14%,14.3
2024-10-29,207,108446,0.19%,14.42
2024-10-28,162,108637,0.15%,15.73
2024-10-27,91,110607,0.08%,17.25
2024-10-26,72,110552,0.07%,18.06
2024-10-25,151,105654,0.14%,15.78
2024-10-24,179,104295,0.17%,15.13
2024-10-23,206,98471,0.21%,15.82
2024-10-22,192,103328,0.19%,20.23
2024-10-21,184,110760,0.17%,19.08
2024-10-20,104,136692,0.08%,15.06
2024-10-19,108,122026,0.09%,17.23
2024-10-18,163,121594,0.13%,16.4
2024-10-17,166,118977,0.14%,15.09
2024-10-16,158,135468,0.12%,15.17
2024-10-15,182,136666,0.13%,14.2
2024-10-14,183,140816,0.13%,15.25
2024-10-13,112,133985,0.08%,14.52
2024-10-12,112,132556,0.08%,15.05
2024-10-11,137,132513,0.1%,14.61
2024-10-10,136,130926,0.1%,12.49
2024-10-09,167,129194,0.13%,12.67
2024-10-08,187,128097,0.15%,13.57
2024-10-07,164,133867,0.12%,14.75
2024-10-06,106,128356,0.08%,14.48
2024-10-05,95,114581,0.08%,15.28
2024-10-04,161,130051,0.12%,16.02
2024-10-03,197,130135,0.15%,13.95
2024-10-02,210,129692,0.16%,15.77
2024-10-01,210,135761,0.15%,15.57
2024-09-30,180,125480,0.14%,13.84
2024-09-29,100,119389,0.08%,15.22
2024-09-28,104,130159,0.08%,13.76
2024-09-27,160,117147,0.14%,15.19
2024-09-26,176,113954,0.15%,13.66
2024-09-25,167,128358,0.13%,13.35
2024-09-24,199,112056,0.18%,14.85
2024-09-23,167,66725,0.25%,25.27
2024-09-22,100,32947,0.3%,42.31
2024-09-21,111,44243,0.25%,46.33
2024-09-20,145,36255,0.4%,40.17
2024-09-19,167,72338,0.23%,19.46
2024-09-18,203,180389,0.11%,10.52
2024-09-17,181,155262,0.12%,11.43
2024-09-16,189,92915,0.2%,19.69
2024-09-15,128,39854,0.32%,43.34
2024-09-14,110,36386,0.3%,44.13
2024-09-13,144,36716,0.39%,39.89
2024-09-12,203,36015,0.56%,36.59
2024-09-11,192,134946,0.14%,13.32
2024-09-10,210,77734,0.27%,21.72
2024-09-09,192,38660,0.5%,35.89
2024-09-08,150,39927,0.38%,42.96
2024-09-07,128,37459,0.34%,41.79
2024-09-06,186,36722,0.51%,38.86
2024-09-05,218,37309,0.58%,33.35
2024-09-04,204,56699,0.36%,26.99
2024-09-03,254,86506,0.29%,21.5
2024-09-02,136,80786,0.17%,22.26
2024-09-01,134,76423,0.18%,21.76
2024-08-31,118,77902,0.15%,20.14
2024-08-30,164,76567,0.21%,20.59
2024-08-29,191,76361,0.25%,17.47
2024-08-28,231,75582,0.31%,17.89
2024-08-27,257,76372,0.34%,17.68
2024-08-26,235,80270,0.29%,18.14
2024-08-25,161,81089,0.2%,22.1
2024-08-24,148,80883,0.18%,22.52
2024-08-23,201,82731,0.24%,20.29
2024-08-22,226,82521,0.27%,19.05
2024-08-21,206,89378,0.23%,23.23
2024-08-20,220,77857,0.28%,18.32
2024-08-19,200,80890,0.25%,19.39
2024-08-18,146,78586,0.19%,23.09
2024-08-17,135,76233,0.18%,22.76
2024-08-16,165,80861,0.2%,21.92
2024-08-15,195,83843,0.23%,17.64
2024-08-14,219,78396,0.28%,18.5
2024-08-13,217,78839,0.28%,18.29
2024-08-12,252,83772,0.3%,20.83
2024-08-11,147,79375,0.19%,22.41
2024-08-10,128,79605,0.16%,21.64
2024-08-09,214,80344,0.27%,21.13
2024-08-08,216,84324,0.26%,20.83
2024-08-07,247,81576,0.3%,19.5
2024-08-06,242,88849,0.27%,21.51
2024-08-05,252,85780,0.29%,20.02
2024-08-04,143,90696,0.16%,22.68
2024-08-03,113,86136,0.13%,22.26
2024-08-02,183,88429,0.21%,21.58
2024-08-01,187,85842,0.22%,19.06
2024-07-31,212,88296,0.24%,17.14
2024-07-30,200,88240,0.23%,17
2024-07-29,220,82308,0.27%,18.17
2024-07-28,136,82316,0.17%,20.73
2024-07-27,107,83014,0.13%,21.41
2024-07-26,167,86679,0.19%,19.91
2024-07-25,186,81810,0.23%,16.77
2024-07-24,246,84220,0.29%,18.5
2024-07-23,214,84552,0.25%,17
2024-07-22,193,84217,0.23%,19.88
2024-07-21,134,91289,0.15%,25.74
2024-07-20,100,86629,0.12%,24.68
2024-07-19,185,76108,0.24%,18.57
2024-07-18,193,76899,0.25%,17.92
2024-07-17,196,87808,0.22%,18.74
2024-07-16,202,86758,0.23%,18.02
2024-07-15,209,83475,0.25%,18.87
2024-07-14,138,81163,0.17%,22.03
2024-07-13,89,82624,0.11%,21.97
2024-07-12,189,91406,0.21%,19.42